Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
12288	9556	-1.11	-2.68	-4.71
12288	9558	0.00	-2.68	-4.71
12288	9559	-1.25	-2.68	-5.01
12288	9560	-1.25	-2.68	-4.71
12288	9561	-1.20	-2.68	-4.71
12288	18319	-1.49	-1.52	-3.61
12288	3423	-1.49	-1.49	-4.98
12288	3426	0.00	-1.11	-4.98
12288	3427	0.00	-1.11	-5.46
12288	3428	0.00	-1.11	-4.56
12288	11623	0.00	-0.97	-6.34
12288	11624	0.00	-0.97	-6.34
12288	11626	-1.49	-1.49	-6.34
12288	3435	-1.11	-1.11	-3.55
12288	1399	-1.49	-1.49	-4.58
12288	1400	-1.49	-1.49	-4.58
12288	1410	0.00	-1.29	-4.58
12288	12184	0.00	-0.74	-7.20
12288	3478	0.00	-1.29	-4.08
12288	11688	0.00	-2.92	-4.16
12288	11692	-1.49	-1.49	-4.16
12288	11693	-1.49	-1.49	-4.33
12288	3506	0.00	-1.29	-2.96
12288	3507	0.00	-1.29	-2.94
12288	3508	-1.25	-1.29	-3.26
12288	9680	-1.25	-1.52	-3.00
12288	9681	-1.25	-1.52	-3.45
12288	3539	0.00	-0.97	-4.74
12288	3540	0.00	-0.97	-4.74
12288	3543	0.00	-0.97	-4.95
12288	3544	0.00	-0.97	-4.95
12288	9692	-2.94	-2.94	-4.06
12288	9693	-2.94	-2.94	-4.06
12288	9694	-2.94	-2.94	-4.06
12288	15890	-1.25	-3.86	-4.63
12288	15891	0.00	-3.86	-4.63
12288	19375	0.00	-3.43	-4.06
12288	17961	0.00	-2.68	-5.95
12288	17962	0.00	-2.68	-5.95
12288	17964	-1.11	-2.68	-5.10
12288	17966	0.00	-2.68	-5.10
12288	15921	0.00	-2.92	-3.93
12288	11827	0.00	-2.76	-4.22
12288	11828	0.00	-2.76	-4.22
12288	17973	0.00	-2.68	-5.10
12288	15939	0.00	-2.92	-6.24
12288	3652	-1.49	-4.23	-4.37
12288	3654	0.00	-1.05	-4.77
12288	3656	0.00	-1.05	-4.37
12288	15946	-1.49	-2.54	-6.24
12288	18008	-1.49	-4.23	-4.34
12288	15964	-3.07	-3.07	-4.68
12288	11541	-1.49	-2.96	-3.52
12288	16013	-1.20	-1.29	-4.65
12288	15296	-1.25	-1.25	-5.64
12288	3009	0.00	-2.96	-4.06
12288	16012	-1.20	-1.29	-4.65
12288	15298	0.00	-0.60	-5.64
12288	15299	0.00	-0.60	-5.64
12288	1305	0.00	-1.03	-4.99
12288	18072	0.00	-0.60	-6.07
12288	7833	-1.25	-1.25	-4.33
12288	7834	0.00	-1.15	-4.33
12288	7835	0.00	-1.15	-4.33
12288	7837	-1.11	-1.15	-4.33
12288	7838	-1.11	-1.15	-4.33
12288	15301	0.00	-0.97	-5.64
12288	7840	0.00	-1.15	-4.33
12288	7841	0.00	-1.15	-4.33
12288	13491	-1.11	-3.05	-4.66
12288	19057	-1.49	-1.49	-4.95
12288	5853	-1.49	-2.70	-4.10
12288	5854	-1.49	-2.70	-4.10
12288	5856	0.00	-2.70	-4.10
12288	15314	0.00	-0.97	-5.24
12288	9969	-1.49	-1.49	-3.64
12288	16134	0.00	-1.20	-3.34
12288	16144	-1.49	-1.49	-4.56
12288	18197	0.00	0.00	-4.39
12288	18199	0.00	0.00	-4.39
12288	18200	0.00	-0.91	-4.39
12288	3865	0.00	-2.86	-5.68
12288	3866	0.00	-2.86	-5.68
12288	18207	0.00	-4.52	-4.52
12288	1824	-1.49	-1.49	-4.80
12288	19762	-1.72	-1.72	-5.85
12288	14127	0.00	-2.54	-5.20
12288	3891	-1.11	-1.29	-5.84
12288	3380	-1.49	-2.54	-4.95
12288	14150	-1.11	-2.54	-3.67
12288	14156	-1.49	-2.54	-3.55
12288	1871	0.00	-1.29	-7.41
12288	18256	0.00	-3.33	-5.47
12288	1873	-1.49	-1.49	-7.41
12288	1874	-1.49	-1.49	-7.41
12288	1877	-1.49	-1.49	-7.41
12288	12121	-1.49	-1.49	-4.77
12288	4069	0.00	-1.29	-4.24
12288	18307	-0.42	-1.75	-3.61
12288	12169	-0.54	-1.29	-6.77
12288	12170	0.00	-1.29	-6.32
12288	18315	0.00	-1.52	-3.61
12288	12172	-1.49	-1.49	-6.32
12288	12173	-1.49	-1.49	-6.32
12288	12175	0.00	-1.29	-7.65
12288	12178	0.00	-1.29	-7.20
12288	18326	0.00	-1.52	-3.14
12288	18328	0.00	-1.52	-3.14
12288	15345	0.00	-2.68	-3.89
12288	16300	-1.49	-1.82	-5.23
12288	16302	0.00	-1.82	-5.23
12288	16303	0.00	-1.82	-5.23
12288	16305	-1.49	-1.82	-5.23
12288	16306	-1.49	-1.82	-5.23
12288	16308	-1.11	-1.82	-5.23
12288	12229	-1.11	-1.40	-5.68
12288	14286	0.00	-1.29	-3.55
12288	12239	-1.11	-2.54	-5.68
12288	14288	0.00	-1.29	-3.55
12288	14290	-1.49	-1.49	-3.55
12288	12243	0.00	-2.54	-5.68
12288	14299	0.00	-0.97	-3.77
12288	14302	0.00	-0.97	-3.77
12288	4067	0.00	-1.29	-4.24
12288	4068	0.00	-1.29	-4.24
12288	12966	0.00	-1.29	-5.10
12288	16363	-1.11	-1.52	-4.83
12288	16364	-1.11	-1.52	-4.83
12288	4078	-1.25	-1.25	-6.39
12288	4079	-3.20	-3.20	-6.39
12288	4080	-3.20	-3.20	-6.39
12288	18417	-1.11	-1.29	-5.64
12288	8179	-1.11	-2.92	-3.55
12288	18420	0.00	-1.29	-5.64
12288	8181	0.00	-2.92	-4.50
12288	8183	-1.49	-2.92	-5.28
12288	8186	-3.07	-3.07	-5.28
12288	8187	-3.07	-3.07	-5.28
12288	12287	-3.44	-3.44	-4.77
12289	8196	-3.25	-4.67	-5.32
12289	14341	-1.21	-2.38	-3.45
12289	14342	0.00	-2.38	-3.19
12289	12295	0.00	-5.87	-5.87
12289	12296	0.00	-5.87	-5.87
12289	14345	-1.59	-1.59	-3.19
12289	12300	-1.59	-5.87	-5.87
12289	18449	0.00	-2.66	-5.64
12289	4119	-1.21	-1.21	-5.10
12289	4120	-1.21	-1.21	-4.10
12289	4121	-1.08	-1.08	-4.10
12289	16730	-1.21	-2.66	-5.03
12289	18467	0.00	-1.06	-4.20
12289	14343	0.00	-2.38	-3.19
12289	2100	-1.40	-2.92	-4.60
12289	2101	-1.40	-2.92	-4.60
12289	14399	-2.11	-2.54	-3.88
12289	14400	0.00	-2.54	-4.45
12289	14401	0.00	-2.54	-4.55
12289	14402	0.00	-2.54	-4.55
12289	14403	-2.03	-2.03	-4.55
12289	14404	-2.03	-2.03	-4.55
12289	14405	0.00	-2.00	-4.55
12289	14407	-1.21	-1.21	-6.16
12289	14408	-1.21	-1.21	-5.68
12289	14409	-1.59	-1.59	-5.68
12289	14412	-1.35	-1.35	-5.68
12289	14413	0.00	-1.06	-5.68
12289	14414	0.00	-1.06	-5.68
