Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
14850	18008	-2.49	-3.85	-7.13
14850	7258	-1.25	-2.41	-2.41
14850	14682	-3.45	-3.45	-4.03
14850	15364	-1.33	-1.33	-7.80
14850	12899	0.00	-1.49	-6.76
14850	12903	-1.35	-4.66	-6.76
14850	12907	0.00	-4.66	-4.74
14850	111	-1.33	-2.07	-3.48
14850	12913	0.00	-4.66	-5.33
14850	19059	-4.44	-4.44	-4.44
14850	116	-1.33	-2.07	-3.40
14850	119	-1.33	-2.07	-3.40
14850	1300	0.00	-4.51	-4.51
14850	122	0.00	-2.07	-3.40
14850	11626	0.00	-0.89	-3.55
14850	19073	-1.35	-2.39	-3.77
14850	19075	0.00	-2.39	-3.77
14850	19080	0.00	-2.39	-3.77
14850	16012	-2.80	-2.80	-3.44
14850	19085	0.00	-2.39	-3.77
14850	1169	-3.45	-3.73	-4.07
14850	9362	-1.33	-1.57	-6.02
14850	1171	-1.33	-3.73	-4.07
14850	18072	-1.35	-1.56	-6.07
14850	19097	-1.35	-1.35	-4.06
14850	7835	-1.91	-4.66	-4.76
14850	7838	0.00	-4.66	-4.76
14850	12229	0.00	-1.86	-3.07
14850	7840	-1.35	-4.66	-4.76
14850	15522	-3.47	-3.47	-3.47
14850	15523	-1.35	-1.35	-3.45
14850	16986	0.00	-1.18	-7.39
14850	2726	-1.35	-2.95	-4.06
14850	15529	0.00	-2.72	-2.72
14850	18964	-1.33	-2.36	-2.87
14850	13341	0.00	0.00	-8.18
14850	4784	-3.25	-3.97	-4.35
14850	13489	0.00	-1.82	-4.56
14850	15538	-1.33	-4.66	-4.66
14850	13491	-0.28	-1.82	-4.56
14850	4788	-4.68	-4.68	-4.68
14850	19578	-1.35	-4.51	-5.13
14850	15301	-1.33	-1.55	-3.60
14850	11450	-2.52	-2.52	-3.63
14850	4795	0.00	-4.24	-5.99
14850	11452	-1.96	-1.96	-3.63
14850	9418	-2.34	-3.87	-3.87
14850	9411	-1.25	-3.06	-3.06
14850	2250	0.00	-1.16	-4.64
14850	15479	-3.37	-3.37	-3.37
14850	9423	-1.33	-3.87	-3.87
14850	19153	0.00	-3.97	-3.97
14850	16783	-1.33	-5.96	-5.96
14850	2767	-1.35	-1.35	-2.96
14850	19066	-2.46	-2.46	-3.55
14850	1250	-1.35	-2.39	-2.65
14850	11505	-1.25	-2.86	-2.86
14850	12243	-1.33	-1.43	-6.41
14850	1270	0.00	-2.88	-4.06
14850	1274	-1.33	-2.88	-4.06
14850	17962	-1.33	-2.86	-5.56
14850	14125	-1.35	-3.52	-4.28
14850	16134	-1.25	-4.53	-4.53
14850	12966	-1.33	-2.29	-4.39
14850	16144	0.00	-4.53	-4.53
14850	1298	-1.35	-4.51	-4.51
14850	2324	-1.35	-2.88	-4.54
14850	11541	0.00	-2.88	-2.88
14850	1305	-1.35	-3.54	-6.56
14850	3354	0.00	-1.69	-3.55
14850	14127	-3.05	-3.05	-4.28
14850	11550	-0.45	-2.88	-2.92
14850	4896	-1.35	-1.84	-5.95
14850	3372	0.00	-6.19	-6.52
14850	19762	-8.74	-8.74	-8.74
14850	4911	0.00	-1.84	-5.95
14850	3377	-1.35	-6.19	-6.52
14850	2866	0.00	-1.82	-4.47
14850	563	-1.33	-1.33	-4.06
14850	19764	-6.29	-6.29	-6.29
14850	3381	-2.25	-6.19	-6.52
14850	310	-1.45	-2.49	-5.17
14850	3383	-5.13	-6.19	-6.52
14850	19769	-3.37	-3.37	-5.30
14850	2874	-2.51	-2.51	-4.47
14850	315	-1.35	-1.82	-4.06
14850	3388	-1.35	-4.14	-6.52
14850	4927	0.00	-1.18	-3.08
14850	13125	-1.35	-2.16	-6.62
14850	14150	0.00	0.00	-6.04
14850	14156	0.00	-0.89	-6.04
14850	19450	0.00	-1.18	-6.53
14850	18256	-1.35	-1.40	-3.93
14850	1873	0.00	-2.86	-2.86
14850	9554	-2.23	-2.88	-3.68
14850	9556	-3.61	-3.61	-4.26
14850	1877	0.00	-2.86	-2.86
14850	9558	-1.33	-3.02	-3.85
14850	9559	-3.45	-3.45	-3.85
14850	18916	0.00	-3.40	-3.40
14850	16730	-1.38	-2.57	-4.53
14850	12175	-1.33	-3.14	-3.33
14850	16732	-1.33	-2.57	-3.70
14850	4922	0.00	-1.18	-4.47
14850	16734	-1.33	-2.57	-3.70
14850	14687	0.00	-1.42	-4.03
14850	4448	0.00	-5.51	-5.51
14850	3427	-1.35	-2.94	-3.40
14850	11624	-1.33	-1.33	-4.93
14850	3434	0.00	-2.94	-2.94
14850	13171	-1.35	-2.56	-8.97
14850	2422	-1.33	-1.67	-3.30
14850	1399	-2.76	-2.76	-5.13
14850	384	-1.33	-1.82	-4.52
14850	14419	-1.35	-1.35	-4.06
14850	387	-3.45	-3.45	-4.52
14850	8582	0.00	-1.84	-4.25
14850	12169	-1.25	-3.14	-3.14
14850	12170	-1.33	-3.14	-3.14
14850	16780	0.00	-5.96	-5.96
14850	12173	0.00	-3.14	-3.14
14850	18319	0.00	-1.74	-4.44
14850	4497	-1.35	-2.06	-5.06
14850	12178	-2.50	-3.14	-3.14
14850	15939	-1.33	-1.33	-5.00
14850	404	-1.33	-4.51	-4.51
14850	12184	-1.33	-3.14	-3.14
14850	16795	0.00	-5.96	-5.96
14850	4508	-1.33	-1.52	-6.74
14850	19358	-1.33	-1.33	-3.94
14850	19360	-1.33	-1.33	-4.93
14850	16802	-6.58	-6.58	-6.58
14850	12289	-1.35	-1.35	-3.09
14850	16806	-1.33	-1.33	-3.30
14850	17393	0.00	-0.89	-4.52
14850	11688	-1.33	-2.38	-4.24
14850	4523	0.00	-1.52	-5.27
14850	16300	0.00	-1.67	-3.94
14850	16302	-1.25	-1.67	-3.94
14850	19375	-1.33	-3.86	-3.86
14850	4529	-1.33	-1.33	-4.03
14850	3507	-1.33	-3.95	-3.95
14850	16308	0.00	-1.69	-3.94
14850	4535	0.00	-1.18	-4.03
14850	4536	0.00	-1.18	-4.27
14850	15293	-2.87	-2.87	-3.60
14850	15297	-3.45	-3.45	-3.60
14850	3010	-1.35	-1.43	-3.08
14850	3013	0.00	-1.85	-3.08
14850	2504	-0.68	-2.92	-3.55
14850	19447	0.00	-1.18	-6.53
14850	12239	0.00	-1.43	-6.41
14850	14288	-1.35	-1.69	-3.40
14850	14290	0.00	-1.69	-3.40
14850	3539	-1.33	-1.33	-5.48
14850	12758	0.00	-0.89	-6.39
14850	3543	-1.35	-1.35	-4.50
14850	12760	-1.33	-1.33	-6.39
14850	476	-1.25	-1.69	-3.55
14850	9693	-1.18	-4.22	-4.22
14850	14302	-1.33	-1.69	-4.95
14850	19280	0.00	-2.86	-5.25
14850	18914	-1.33	-3.40	-3.48
14850	483	-1.35	-1.69	-3.55
14850	4068	-1.35	-1.84	-3.56
14850	4069	-1.25	-1.69	-3.56
14850	486	-1.35	-1.69	-3.59
14850	12775	0.00	-1.16	-6.04
14850	12777	0.00	-1.16	-6.04
14850	16875	0.00	-2.20	-2.54
14850	4078	-3.47	-3.47	-3.47
14850	15343	-1.33	-2.78	-6.12
14850	18417	0.00	-2.53	-3.91
14850	19442	0.00	-1.18	-6.53
14850	8179	0.00	-1.16	-4.21
14850	18420	-1.33	-2.53	-3.91
14850	8181	-1.33	-1.33	-4.21
14850	15350	-1.33	-2.78	-7.80
14850	8183	0.00	-1.16	-4.21
14850	19449	0.00	-1.18	-6.53
14850	8186	0.00	-1.16	-4.69
14850	11261	0.00	-1.84	-5.42
8196	14341	-1.21	-2.38	-5.31
8196	14854	0.00	-2.38	-5.31
8196	12295	0.00	-5.32	-5.32
8196	15562	0.00	-3.04	-4.01
8196	11692	-1.59	-2.00	-5.00
8196	12300	-1.59	-5.32	-5.32
8196	13325	-1.59	-4.88	-4.96
8196	13327	-4.29	-4.88	-4.96
8196	18449	0.00	-3.22	-4.64
8196	18328	0.00	-2.66	-3.66
8196	15891	0.00	-1.88	-5.00
8196	3092	0.00	-3.22	-4.87
8196	18968	0.00	-2.00	-3.93
8196	4121	-1.08	-1.08	-4.64
8196	12826	-1.59	-2.38	-7.02
8196	1052	0.00	-2.14	-3.69
8196	12829	-1.59	-2.38	-7.02
8196	13343	-1.21	-2.00	-3.58
8196	18467	0.00	-1.06	-4.64
8196	2481	-1.21	-2.38	-8.97
8196	15400	0.00	-6.04	-6.04
8196	15964	-1.08	-3.04	-6.52
8196	1066	-1.59	-3.37	-4.50
8196	14343	0.00	-2.38	-5.31
8196	17964	-1.21	-1.21	-7.62
8196	15405	-1.59	-6.04	-6.04
8196	17966	0.00	-1.06	-5.57
8196	1072	0.00	-3.37	-5.00
8196	1075	-0.80	-3.37	-5.00
8196	566	0.00	-2.38	-5.33
8196	1082	-1.08	-1.08	-5.00
8196	19770	0.00	-4.01	-4.52
8196	1086	-1.21	-2.54	-5.00
8196	14401	0.00	-2.00	-7.05
8196	1090	-1.21	-2.54	-5.00
8196	579	-1.08	-2.09	-3.61
8196	14405	0.00	-2.00	-3.93
8196	3654	0.00	-2.38	-3.93
8196	7239	-1.21	-2.00	-5.33
8196	3656	0.00	-2.38	-3.93
8196	14409	-1.59	-1.59	-3.34
8196	7245	0.00	-2.66	-7.38
8196	4688	0.00	-0.69	-5.40
8196	7251	0.00	-2.66	-6.40
8196	16983	-1.21	-2.38	-5.03
8196	18008	-1.59	-1.88	-3.88
8196	7258	0.00	-2.66	-6.40
8196	14682	-1.35	-1.35	-5.62
8196	15364	-0.31	-3.59	-7.67
8196	12899	-1.08	-2.38	-5.28
8196	12903	-1.95	-2.38	-5.03
8196	12907	-1.21	-2.38	-5.03
8196	111	0.00	-2.38	-5.12
8196	12913	-1.21	-2.38	-5.03
8196	19059	-1.59	-3.04	-5.22
8196	116	0.00	-2.38	-4.13
8196	119	0.00	-2.38	-4.13
8196	1300	-1.21	-2.97	-5.78
8196	122	-1.59	-2.04	-4.50
8196	11626	-1.59	-2.00	-4.40
8196	19073	0.00	-3.04	-5.79
8196	19075	-1.59	-3.04	-5.79
8196	19080	-1.59	-1.59	-6.38
8196	16012	-1.21	-2.00	-5.59
8196	19085	-1.59	-4.63	-4.74
8196	1169	-1.35	-3.04	-3.04
8196	9362	0.00	-4.21	-4.72
8196	1171	0.00	-3.04	-3.04
8196	18072	0.00	-2.17	-3.18
8196	19097	0.00	-4.63	-4.63
8196	7835	0.00	-2.00	-5.31
8196	7838	-1.21	-2.00	-4.71
8196	12229	-1.21	-2.00	-5.59
8196	7840	0.00	-2.00	-4.71
8196	15522	-1.35	-2.54	-3.76
8196	15523	0.00	-2.54	-4.01
8196	16986	-1.21	-2.38	-4.53
8196	2726	0.00	-3.66	-5.03
8196	15529	-1.08	-2.00	-4.00
8196	18964	0.00	-2.00	-3.93
8196	13341	-1.21	-2.00	-3.58
8196	4784	-1.21	-1.21	-5.31
8196	13489	-1.59	-3.88	-4.62
8196	15538	0.00	-0.83	-5.16
8196	13491	-1.21	-3.88	-4.62
8196	4788	-1.21	-1.21	-5.31
8196	19578	0.00	-3.04	-4.74
8196	15301	0.00	-3.71	-4.19
8196	11450	0.00	-2.38	-3.85
8196	4795	-1.59	-1.59	-5.31
8196	11452	-1.59	-2.38	-3.85
8196	9418	0.00	-1.06	-3.98
8196	9411	0.00	-1.06	-4.48
8196	2250	-1.59	-2.00	-6.10
8196	15479	-1.35	-2.54	-3.90
8196	9423	-1.59	-1.59	-3.98
8196	19153	-1.08	-2.38	-5.31
8196	16783	0.00	-2.38	-3.67
8196	2767	0.00	-3.22	-4.50
8196	19066	-1.59	-3.04	-5.79
8196	1250	0.00	-1.32	-3.93
8196	11505	-2.16	-2.38	-4.13
8196	12243	0.00	-1.06	-5.28
8196	1270	-1.59	-2.54	-5.30
8196	1274	0.00	-2.54	-5.30
